case_title,subject,reason,type,location,neighborhood,location_street_name,location_zipcode,latitude,longitude
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,121 Devon St  Dorchester  MA  02121,Roxbury,121 Devon St,2121.0,42.3081,-71.0773
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,25 Thornley St  Dorchester  MA  02125,Dorchester,25 Thornley St,2125.0,42.3144,-71.0591
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,400 Stuart St  Boston  MA  02116,Boston,400 Stuart St,2116.0,42.3489,-71.0737
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Follen St & Saint Botolph St  Boston  MA  ,Back Bay,INTERSECTION Follen St & Saint Botolph St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,225 Bowdoin St  Dorchester  MA  02122,Dorchester,225 Bowdoin St,2122.0,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Boston St & Roseclair St  Dorchester  MA  ,Dorchester,INTERSECTION Boston St & Roseclair St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,151 Tremont St  Boston  MA  02111,Downtown / Financial District,151 Tremont St,2111.0,42.3544,-71.0634
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,101 Lamartine St  Jamaica Plain  MA  02130,Jamaica Plain,101 Lamartine St,2130.0,42.3198,-71.1031
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,INTERSECTION of Maverick St & Cottage St  East Boston  MA  ,East Boston,INTERSECTION Maverick St & Cottage St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Webster St & Orleans St  East Boston  MA  ,East Boston,INTERSECTION Webster St & Orleans St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,82 Birchcroft Rd  Mattapan  MA  02126,Hyde Park,82 Birchcroft Rd,2126.0,42.2673,-71.1102
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,20 Cricket Ln  West Roxbury  MA  02132,West Roxbury,20 Cricket Ln,2132.0,42.2949,-71.1636
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of S Huntington Ave & Huntington Ave  Mission Hill  MA  ,Mission Hill,INTERSECTION S Huntington Ave & Huntington Ave,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,1189 Commonwealth Ave  Allston  MA  02134,Allston / Brighton,1189 Commonwealth Ave,2134.0,42.3509,-71.1292
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of S Huntington Ave & Huntington Ave  Mission Hill  MA  ,Mission Hill,INTERSECTION S Huntington Ave & Huntington Ave,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,20 Stockwell St  Mission Hill  MA  02120,Mission Hill,20 Stockwell St,2120.0,42.332,-71.1075
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,6 Greenwich Ct  Mission Hill  MA  02120,Roxbury,6 Greenwich Ct,2120.0,42.3354,-71.0839
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Anthony Rip Valenti Way & Haverhill St  Boston  MA  ,Downtown / Financial District,INTERSECTION Anthony Rip Valenti Way & Haverhill St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Fan Pier  Blvd & Northern Ave  Boston  MA  ,South Boston / South Boston Waterfront,INTERSECTION Fan Pier  Blvd & Northern Ave,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Anthony Rip Valenti Way & Haverhill St  Boston  MA  ,Downtown / Financial District,INTERSECTION Anthony Rip Valenti Way & Haverhill St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,56 Mansfield St  Allston  MA  02134,Allston / Brighton,56 Mansfield St,2134.0,42.359,-71.132
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,58 Seaport Blvd  Boston  MA  02210,Boston,58 Seaport Blvd,2210.0,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Roslin St & Washington St  Dorchester  MA  ,Dorchester,INTERSECTION Roslin St & Washington St,,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,17 Gleason St  Dorchester  MA  02121,Greater Mattapan,17 Gleason St,2121.0,42.2971,-71.0814
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,INTERSECTION of Longfellow Pl & Staniford St  Boston  MA  ,Back Bay,INTERSECTION Longfellow Pl & Staniford St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Cross St & Hanover St  Boston  MA  ,Downtown / Financial District,INTERSECTION Cross St & Hanover St,,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,74 Leonard St  Dorchester  MA  02122,Dorchester,74 Leonard St,2122.0,42.3022,-71.0568
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,30 Bennington St  East Boston  MA  02128,East Boston,30 Bennington St,2128.0,42.3754,-71.038
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,559 E Sixth St  South Boston  MA  02127,South Boston / South Boston Waterfront,559 E Sixth St,2127.0,42.3329,-71.0382
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Longwood Ave & Huntington Ave  Boston  MA  ,Fenway / Kenmore / Audubon Circle / Longwood,INTERSECTION Longwood Ave & Huntington Ave,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Thacher St & Prince St  Boston  MA  ,Downtown / Financial District,INTERSECTION Thacher St & Prince St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,51 Paul Gore St  Jamaica Plain  MA  02130,Jamaica Plain,51 Paul Gore St,2130.0,42.3197,-71.1088
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,17 Gleason St  Dorchester  MA  02121,Greater Mattapan,17 Gleason St,2121.0,42.2971,-71.0814
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,10 Addington Rd  West Roxbury  MA  02132,West Roxbury,10 Addington Rd,2132.0,42.2884,-71.1653
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,69 Beaumont St  Dorchester  MA  02124,Dorchester,69 Beaumont St,2124.0,42.2851,-71.0578
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,81-83 W Cottage St  Roxbury  MA  02119,Roxbury,81-83 W Cottage St,2119.0,42.3207,-71.0764
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,155 Talbot Ave  Dorchester  MA  02124,Dorchester,155 Talbot Ave,2124.0,42.292,-71.0805
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,1 Emerson Pl  Boston  MA  02114,Back Bay,1 Emerson Pl,2114.0,42.3645,-71.0687
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,31 Howland St  Dorchester  MA  02121,Roxbury,31 Howland St,2121.0,42.3129,-71.0858
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,225 Bowdoin St  Dorchester  MA  02122,Dorchester,225 Bowdoin St,2122.0,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,875 E Second St  South Boston  MA  02127,South Boston / South Boston Waterfront,875 E Second St,2127.0,42.3373,-71.0281
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,49 Melcher St  Boston  MA  02210,South Boston / South Boston Waterfront,49 Melcher St,2210.0,42.3494,-71.0504
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,9 Clermont St  Dorchester  MA  02124,Dorchester,9 Clermont St,2124.0,42.2836,-71.0673
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Market St & N Beacon St  Brighton  MA  ,Allston / Brighton,INTERSECTION Market St & N Beacon St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Hanson St & Tremont St  Boston  MA  ,South End,INTERSECTION Hanson St & Tremont St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,40 Hancock St  Boston  MA  02114,Boston,40 Hancock St,2114.0,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Fuller St & Dorchester Ave  Dorchester  MA  ,Dorchester,INTERSECTION Fuller St & Dorchester Ave,,42.3594,-71.0587
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,17 Gartland St  Jamaica Plain  MA  02130,Jamaica Plain,17 Gartland St,2130.0,42.3062,-71.1064
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,341 Gallivan Blvd  Dorchester  MA  02124,Dorchester,341 Gallivan Blvd,2124.0,42.2803,-71.064
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,543 E Fourth St  South Boston  MA  02127,South Boston / South Boston Waterfront,543 E Fourth St,2127.0,42.3345,-71.0431
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,3139 Washington St  Jamaica Plain  MA  02130,Jamaica Plain,3139 Washington St,2130.0,42.3142,-71.1001
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,65 Martha Rd  Boston  MA  02114,Back Bay,65 Martha Rd,2114.0,42.3656,-71.0656
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,17 Gleason St  Dorchester  MA  02121,Greater Mattapan,17 Gleason St,2121.0,42.2971,-71.0814
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,131 Dartmouth St  Boston  MA  02116,Boston,131 Dartmouth St,2116.0,42.3466,-71.0754
Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,INTERSECTION of Blue Hill Ave & American Legion Hwy  Dorchester  MA  ,Greater Mattapan,INTERSECTION Blue Hill Ave & American Legion Hwy,,42.3594,-71.0587
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,208 Endicott St  Boston  MA  02113,Downtown / Financial District,208 Endicott St,2113.0,42.3663,-71.0581
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,36 Pierce St  Hyde Park  MA  02136,Hyde Park,36 Pierce St,2136.0,42.256,-71.119
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,59 Sturbridge St  Mattapan  MA  02126,Dorchester,59 Sturbridge St,2126.0,42.2734,-71.0746
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,24 Ward St  South Boston  MA  02127,South Boston / South Boston Waterfront,24 Ward St,2127.0,42.3298,-71.0545
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,110 Chester St  Allston  MA  02134,Allston / Brighton,110 Chester St,2134.0,42.3544,-71.1281
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,24 Cambridge St  Charlestown  MA  02129,Charlestown,24 Cambridge St,2129.0,42.3838,-71.0742
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,28 E Springfield St  Roxbury  MA  02118,South End,28 E Springfield St,2118.0,42.3363,-71.0753
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,2 Forest St  Roxbury  MA  02119,Roxbury,2 Forest St,2119.0,42.3279,-71.0792
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,31-33 Willis St  Dorchester  MA  02125,Dorchester,31-33 Willis St,2125.0,42.3183,-71.0605
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,4-6 Wellesley Park  Dorchester  MA  02124,Dorchester,4-6 Wellesley Park,2124.0,42.2971,-71.0655
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,111 Atlantic Ave  Boston  MA  02109,Boston,111 Atlantic Ave,2109.0,42.3616,-71.0527
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,87 Danny Rd  Hyde Park  MA  02136,Hyde Park,87 Danny Rd,2136.0,42.2422,-71.1419
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,73 Stratton St  Dorchester  MA  02124,Greater Mattapan,73 Stratton St,2124.0,42.289,-71.0864
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,150 Staniford St  Boston  MA  02114,Back Bay,150 Staniford St,2114.0,42.3645,-71.0639
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,451 Columbia Rd  Dorchester  MA  02125,Dorchester,451 Columbia Rd,2125.0,42.3129,-71.068
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,13 Withington St  Dorchester  MA  02124,Dorchester,13 Withington St,2124.0,42.2889,-71.0731
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,11-17 Falcon Ln  Dorchester  MA  02126,Dorchester,11-17 Falcon Ln,2126.0,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,36 Leland St  Jamaica Plain  MA  02130,Jamaica Plain,36 Leland St,2130.0,42.2974,-71.113
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,1100 VFW Pkwy  West Roxbury  MA  02132,West Roxbury,1100 VFW Pkwy,2132.0,42.2839,-71.1716
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,565 American Legion Hwy  Roslindale  MA  02131,Roslindale,565 American Legion Hwy,2131.0,42.2873,-71.1085
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,30 N Beacon St  Allston  MA  02134,Allston / Brighton,30 N Beacon St,2134.0,42.3536,-71.1389
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,38 Wenonah St  Dorchester  MA  02121,Roxbury,38 Wenonah St,2121.0,42.3132,-71.0856
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,51 Wentworth St  Dorchester  MA  02124,Dorchester,51 Wentworth St,2124.0,42.2868,-71.0753
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,185 Gladstone St  East Boston  MA  02128,East Boston,185 Gladstone St,2128.0,42.3899,-71.0078
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,17 Gleason St  Dorchester  MA  02121,Greater Mattapan,17 Gleason St,2121.0,42.2971,-71.0814
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,60 Clarkson St  Dorchester  MA  02125,Dorchester,60 Clarkson St,2125.0,42.3081,-71.0674
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Massachusetts Ave & Columbus Ave  Roxbury  MA  ,South End,INTERSECTION Massachusetts Ave & Columbus Ave,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,278 Newbury St  Boston  MA  02116,Back Bay,278 Newbury St,2116.0,42.3491,-71.0837
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,700 Harrison Ave  Roxbury  MA  02118,South End,700 Harrison Ave,2118.0,42.3383,-71.0707
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,5 Westmount Ave  West Roxbury  MA  02132,West Roxbury,5 Westmount Ave,2132.0,42.2837,-71.1595
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of I St & E Second St  South Boston  MA  ,South Boston / South Boston Waterfront,INTERSECTION I St & E Second St,,42.3594,-71.0587
Parking Enforcement,Transportation - Traffic Division,Enforcement & Abandoned Vehicles,Parking Enforcement,28 W Broadway  South Boston  MA  02127,South Boston / South Boston Waterfront,28 W Broadway,2127.0,42.3427,-71.0565
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,368 W Fourth St  South Boston  MA  02127,South Boston,368 W Fourth St,2127.0,42.337,-71.0497
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Massachusetts Ave & Newbury St  Boston  MA  ,Back Bay,INTERSECTION Massachusetts Ave & Newbury St,,42.3594,-71.0587
Dumpster & Loading Noise Disturbances,Neighborhood Services,Neighborhood Services Issues,Dumpster & Loading Noise Disturbances,85 Seaport Blvd  Boston  MA  02210,Boston,85 Seaport Blvd,2210.0,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,38 Imrie Rd  Allston  MA  02134,Allston / Brighton,38 Imrie Rd,2134.0,42.3516,-71.1386
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,17 Maryland St  Dorchester  MA  02125,Dorchester,17 Maryland St,2125.0,42.3116,-71.0556
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Custer St & Arborway  Jamaica Plain  MA  ,Jamaica Plain,INTERSECTION Custer St & Arborway,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,20 Winthrop St  Roxbury  MA  02119,Roxbury,20 Winthrop St,2119.0,42.3265,-71.0819
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,24 Countryside Dr  Mattapan  MA  02126,Dorchester,24 Countryside Dr,2126.0,42.2761,-71.0774
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,34 Bennington St  East Boston  MA  02128,East Boston,34 Bennington St,2128.0,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,34 Bennington St  East Boston  MA  02128,East Boston,34 Bennington St,2128.0,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,99-111 Sumner St  East Boston  MA  02128,East Boston,99-111 Sumner St,2128.0,42.3594,-71.0587
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,214 W Fifth St  South Boston  MA  02127,South Boston / South Boston Waterfront,214 W Fifth St,2127.0,42.3365,-71.0506
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,103 Townsend St  Dorchester  MA  02121,Roxbury,103 Townsend St,2121.0,42.3179,-71.0903
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,97 Chester St  Allston  MA  02134,Allston / Brighton,97 Chester St,2134.0,42.3541,-71.1277
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,270 Babcock St  Boston  MA  02215,Allston / Brighton,270 Babcock St,2215.0,42.3527,-71.1218
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,270 Babcock St  Boston  MA  02215,Allston / Brighton,270 Babcock St,2215.0,42.3527,-71.1218
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,63 Brentwood St  Allston  MA  02134,Allston / Brighton,63 Brentwood St,2134.0,42.3602,-71.1337
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,335 W Second St  South Boston  MA  02127,South Boston / South Boston Waterfront,335 W Second St,2127.0,42.3386,-71.0471
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,150 Seaport Blvd  Boston  MA  02210,Boston,150 Seaport Blvd,2210.0,42.3594,-71.0587
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,47 Roslin St  Dorchester  MA  02124,Dorchester,47 Roslin St,2124.0,42.2864,-71.0688
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,185 Corey Rd  Brighton  MA  02135,Allston / Brighton,185 Corey Rd,2135.0,42.3431,-71.1392
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,39 Hemenway St  Boston  MA  02115,Fenway / Kenmore / Audubon Circle / Longwood,39 Hemenway St,2115.0,42.3455,-71.0897
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Sleeper St & Congress St  Boston  MA  ,South Boston / South Boston Waterfront,INTERSECTION Sleeper St & Congress St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,537 Columbus Ave  Roxbury  MA  02118,South End,537 Columbus Ave,2118.0,42.3417,-71.0808
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,17 Gleason St  Dorchester  MA  02121,Greater Mattapan,17 Gleason St,2121.0,42.2971,-71.0814
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,45 Walnut Ave  Roxbury  MA  02119,Roxbury,45 Walnut Ave,2119.0,42.3236,-71.0844
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,72 Frankfort St  East Boston  MA  02128,East Boston,72 Frankfort St,2128.0,42.3709,-71.0342
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,30 Woodbine St  Roxbury  MA  02119,Roxbury,30 Woodbine St,2119.0,42.3192,-71.0797
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Elm Hill Ave & Crawford St  Dorchester  MA  ,Roxbury,INTERSECTION Elm Hill Ave & Crawford St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,1 Franklin Park Rd  Jamaica Plain  MA  02130,Jamaica Plain,1 Franklin Park Rd,2130.0,42.3029,-71.0876
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,1943-1945 Dorchester Ave  Dorchester  MA  02124,Dorchester,1943-1945 Dorchester Ave,2124.0,42.3594,-71.0587
Automotive Noise Disturbance,Boston Police Department,Noise Disturbance,Automotive Noise Disturbance,19 Eliot St  Jamaica Plain  MA  02130,Jamaica Plain,19 Eliot St,2130.0,42.3109,-71.1165
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,32 Clarkwood St  Mattapan  MA  02126,Greater Mattapan,32 Clarkwood St,2126.0,42.2805,-71.0911
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,INTERSECTION of Columbia Rd & Hamilton St  Dorchester  MA  ,Dorchester,INTERSECTION Columbia Rd & Hamilton St,,42.3594,-71.0587
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Dartmouth St & Tremont St  Roxbury  MA  ,South End,INTERSECTION Dartmouth St & Tremont St,,42.3594,-71.0587
Public Events Noise Disturbances,Consumer Affairs & Licensing,Consumer Affairs Issues,Public Events Noise Disturbances,24 Cambridge St  Charlestown  MA  02129,Charlestown,24 Cambridge St,2129.0,42.3838,-71.0742
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,37 S Russell St  Boston  MA  02114,Beacon Hill,37 S Russell St,2114.0,42.3601,-71.0661
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Seaport Blvd & Northern Ave  Boston  MA  ,South Boston / South Boston Waterfront,INTERSECTION Seaport Blvd & Northern Ave,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Marion St & Bremen St  East Boston  MA  ,East Boston,INTERSECTION Marion St & Bremen St,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,18 Braddock Park  Boston  MA  02116,South End,18 Braddock Park,2116.0,42.3441,-71.0787
Aircraft Noise Disturbance,Mayor's 24 Hour Hotline,Massport,Aircraft Noise Disturbance,79 Mayfield St  Dorchester  MA  02125,Dorchester,79 Mayfield St,2125.0,42.3171,-71.0606
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,14-40 Lewis Whf  Boston  MA  02110,Boston,14-40 Lewis Whf,2110.0,42.3633,-71.0501
Animal Noise Disturbances,Animal Control,Animal Issues,Animal Noise Disturbances,65 Martha Rd  Boston  MA  02114,Back Bay,65 Martha Rd,2114.0,42.3656,-71.0656
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,84 Monument St  Charlestown  MA  02129,Charlestown,84 Monument St,2129.0,42.3794,-71.0593
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,59 Ashley St  East Boston  MA  02128,East Boston,59 Ashley St,2128.0,42.3885,-71.0072
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,INTERSECTION of Williams St & Shawmut Ave  Mission Hill  MA  ,Roxbury,INTERSECTION Williams St & Shawmut Ave,,42.3594,-71.0587
Work Hours-Loud Noise Complaints,Public Works Department,Highway Maintenance,Work Hours-Loud Noise Complaints,INTERSECTION of Chandler St & Columbus Ave  Boston  MA  ,South End,INTERSECTION Chandler St & Columbus Ave,,42.3594,-71.0587
Generic Noise Disturbance,Mayor's 24 Hour Hotline,Generic Noise Disturbance,Undefined Noise Disturbance,120-124 Westview St  Dorchester  MA  02124,Greater Mattapan,120-124 Westview St,2124.0,42.2904,-71.0835
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,156 I St  South Boston  MA  02127,South Boston / South Boston Waterfront,156 I St,2127.0,42.3328,-71.0397
Loud Parties/Music/People,Boston Police Department,Noise Disturbance,Loud Parties/Music/People,28-30 Cooper St  Boston  MA  02113,Downtown / Financial District,28-30 Cooper St,2113.0,42.3644,-71.0566
